Indent	Cycle	Max.	Plastic	Max.				Contact	Plastic	Elastic	Fit
		Depth	Depth	Load	Hardness	Er	ERP	Compliance	Work	Work	MSE
		(nm)	(nm)	(mN)	(GPa)	(GPa)		(nm/mN)	(nJ)	(nJ)
1	1	478.933862	368.380332	88.588600	14.596282	209.085108	0.300107	1.663924	2.884918	16.392742	0.281660
1	2	950.873360	764.353596	229.079758	10.867075	171.953289	0.244023	1.085618	11.211466	81.501872	0.795542
1	3	1365.686161	1093.643963	425.866058	7.130827	130.213451	0.248748	0.851730	2.344222	217.327316	1.036257
1	4	1493.251585	1196.089651	500.249939	5.808464	116.604863	0.248445	0.792036	159.181644	122.073278	1.242715
2	1	482.743799	373.351283	82.980324	13.330916	195.440968	0.293002	1.757726	2.575622	15.636981	0.273907
2	2	935.245004	748.463904	227.148865	11.239661	173.894009	0.249553	1.096380	5.079713	79.644316	0.857462
2	3	1387.412784	1136.990763	414.618439	5.949133	127.486528	0.220250	0.805309	17.978026	211.515506	1.019567
2	4	1515.730490	1237.200664	500.249939	5.014817	115.593933	0.225129	0.742375	156.976148	119.009477	1.249290
3	1	478.072161	367.832150	83.609863	13.814884	198.174966	0.299702	1.758006	2.471784	15.502511	0.197694
3	2	945.950516	788.111982	196.735580	8.752007	168.992682	0.200274	1.069717	13.902545	67.470557	0.546222
3	3	1384.515533	1149.481030	379.410431	5.206005	121.551683	0.204470	0.825964	2.700850	192.098394	0.909669
3	4	1607.335416	1335.797250	500.249969	3.543687	99.672655	0.203278	0.723740	176.924184	117.826920	1.226009
4	1	479.528959	374.721432	84.901398	13.546103	207.997350	0.279695	1.645949	2.355521	15.763477	0.316098
4	2	935.954487	784.046089	219.868179	9.890294	197.328439	0.193749	0.921209	9.421140	75.003122	0.647348
4	3	1369.970349	1147.900566	414.542328	5.720336	140.958540	0.193457	0.714265	9.722417	205.214339	1.538207
4	4	1544.316873	1299.067010	500.249939	4.028509	117.663723	0.188789	0.653673	180.585638	108.121811	1.585912
5	1	484.307592	370.510379	91.889900	14.976096	209.549796	0.307136	1.651211	3.196144	17.485070	0.314585
5	2	932.953370	746.085831	226.694397	11.287650	174.009900	0.250464	1.099086	9.007957	79.148465	0.605159
5	3	1373.045020	1124.425316	396.678345	5.953060	125.643345	0.221108	0.835672	21.342803	199.614131	1.301107
5	4	1605.723271	1330.055350	500.249969	3.615062	99.163274	0.207260	0.734747	188.149534	122.595446	1.601115
6	1	485.245254	378.555140	81.655319	12.782712	194.654851	0.281835	1.742121	3.829280	15.151139	0.253688
